	Perf	Random	Random	Random	Random
(5Z)-7-Oxozeaenol Group 1	1	41	48	41	15
17-AAG Group 2	2	34	13	26	50
5-Fluorouracil Group 25	25	20	55	38	14
681640 Group 4	4	48	49	53	19
A-443654 Group 5	5	31	8	30	17
A-770041 Group 6	6	49	52	30	24
AC220 Group 7	7	45	25	22	52
Afatinib Group 8	8	32	42	8	24
AG-014699 Group 9	9	24	17	49	52
AICAR Group 10	10	6	18	20	11
AKT inhibitor VIII Group 5	5	42	26	19	14
AMG-706 Group 44	44	5	19	48	25
AP-24534 Group 44	44	5	32	16	9
AR-42 Group 13	13	35	10	39	32
AS601245 Group 14	14	1	51	40	47
AS605240 Group 15	15	5	25	15	5
AT-7519 Group 16	16	45	47	17	53
ATRA Group 17 	17	20	55	15	22
AUY922 Group 2	2	10	21	52	29
Axitinib Group 44	44	3	4	42	11
AZ628 Group 18	18	10	49	10	45
AZD6482 Group 15	15	10	47	42	31
AZD7762 Group 4	4	16	35	1	38
AZD8055 Group 15	15	25	25	17	32
BAY 61-3606 Group 20	20	5	8	12	20
Belinostat Group 13	13	32	32	29	10
Bexarotene Group 17	17	33	54	14	53
BEZ235 Group 15	15	15	47	38	1
BHG712 Group 21	21	1	29	54	43
BI-2536 Group 22	22	34	9	19	19
Bicalutamide Group 23	23	24	30	23	1
BIRB 0796 Group 23	23	11	53	2	24
BIX02189 Group 24	24	50	37	34	4
Bleomycin (50 uM) Group 25	25	53	34	11	51
Bleomycin Group 25	25	51	4	25	22
BMS345541 Group 1	1	42	41	21	26
BMS-509744 Group 27	27	6	36	24	15
BMS-536924 Group 28	28	2	18	36	12
BMS-708163 Group 29	29	25	24	55	27
BMS-754807 Group 28	28	27	20	20	10
Bortezomib Group 30	30	39	31	43	13
Bosutinib Group 44	44	25	23	34	39
Bryostatin 1 Group 31	31	43	13	4	50
BX-795 Group 33	33	37	37	26	49
BX-912 Group 32	32	40	21	35	19
CAL-101 Group 15	15	6	2	22	22
Camptothecin Group 34	34	33	52	32	31
CAY10603 Group 13	13	35	37	40	34
CCT007093 Group 35	35	13	35	45	40
CCT018159 Group 2	2	46	43	55	12
CEP-701 Group 7	7	52	33	28	50
Cetuximab Group 8	8	5	22	35	33
CGP-082996 Group 16	16	19	49	29	36
CGP-60474 Group 16	16	37	46	44	54
CH5424802 Group 37	37	33	36	37	22
