(5Z)-7-Oxozeaenol_IC50=Sensitive						Group 1=DNA replication
17-AAG_IC50=Sensitive						Group 2=cell cycle
5-Fluorouracil_IC50=Sensitive						Group 3=PI3K signaling
681640_IC50=Sensitive						Group 4=RTK signaling
A-443654_IC50=Sensitive						Group 5=EGFR signaling
A-770041_IC50=Sensitive						Group 6=Genome integrity
AC220_IC50=Sensitive						Group 7=metabolism
Afatinib_IC50=Sensitive						Group 8=ABL signaling
AG-014699_IC50=Sensitive						Group 9= chromain  histone acetylation
AICAR_IC50=Sensitive						Group 10=JNK and p38 signaling
AKT inhibitor VIII_IC50=Sensitive						Group 11=ERK MAPK signaling
AMG-706_IC50=Sensitive						Group 12=TOR signaling
AP-24534_IC50=Sensitive						Group 13=IGFR signaling
AR-42_IC50=Sensitive						Group 14=mitosis
AS601245_IC50=Sensitive						Group 15=WNT signaling
AS605240_IC50=Sensitive						Group 16=cytoskeleton
AT-7519_IC50=Sensitive						Group 17=apoptosis regulation
ATRA_IC50=Sensitive						Group 18=chromatin  other
AUY922_IC50=Sensitive						Group 19=p53 pathway
Axitinib_IC50=Sensitive						
AZ628_IC50=Sensitive						
AZD6482_IC50=Sensitive						
AZD7762_IC50=Sensitive						
AZD8055_IC50=Sensitive						
BAY 61-3606_IC50=Sensitive						
Belinostat_IC50=Sensitive						
Bexarotene_IC50=Sensitive						
BEZ235_IC50=Sensitive						
BHG712_IC50=Sensitive						
BI-2536_IC50=Sensitive						
Bicalutamide_IC50=Sensitive						
BIRB 0796_IC50=Sensitive						
BIX02189_IC50=Sensitive						
Bleomycin (50 uM)_IC50=Sensitive						
Bleomycin_IC50=Sensitive						
BMS345541_IC50=Sensitive						
BMS-509744_IC50=Sensitive						
BMS-536924_IC50=Sensitive						
BMS-708163_IC50=Sensitive						
BMS-754807_IC50=Sensitive						
Bortezomib_IC50=Sensitive						
Bosutinib_IC50=Sensitive						
Bryostatin 1_IC50=Sensitive						
BX-795_IC50=Sensitive						
BX-912_IC50=Sensitive						
CAL-101_IC50=Sensitive						
Camptothecin_IC50=Sensitive						
CAY10603_IC50=Sensitive						
CCT007093_IC50=Sensitive						
CCT018159_IC50=Sensitive						
CEP-701_IC50=Sensitive						
Cetuximab_IC50=Sensitive						
CGP-082996_IC50=Sensitive						
CGP-60474_IC50=Sensitive						
CH5424802_IC50=Sensitive						
CHIR-99021_IC50=Sensitive						
CI-1040_IC50=Sensitive						
Cisplatin_IC50=Sensitive						
CMK_IC50=Sensitive						
CP466722_IC50=Sensitive						
CP724714_IC50=Sensitive						
Crizotinib_IC50=Sensitive						
CUDC-101_IC50=Sensitive						
CX-5461_IC50=Sensitive						
Cyclopamine_IC50=Sensitive						
Cytarabine_IC50=Sensitive						
Dabrafenib_IC50=Sensitive						
Dasatinib_IC50=Sensitive						
DMOG_IC50=Sensitive						
Docetaxel_IC50=Sensitive						
Doxorubicin_IC50=Sensitive						
EHT 1864_IC50=Sensitive						
EKB-569_IC50=Sensitive						
Elesclomol_IC50=Sensitive						
Embelin_IC50=Sensitive						
Epothilone B_IC50=Sensitive						
Erlotinib_IC50=Sensitive						
Etoposide_IC50=Sensitive						
EX-527_IC50=Sensitive						
FH535_IC50=Sensitive						
FK866_IC50=Sensitive						
FMK_IC50=Sensitive						
Foretinib_IC50=Sensitive						
FR-180204_IC50=Sensitive						
FTI-277_IC50=Sensitive						
GDC0449_IC50=Sensitive						
GDC0941_IC50=Sensitive						
